Name,Category,SMILES,CAS,PubChem_CID,surrogateSMILES
Triphenylphosphine,Triarylphosphine,c1ccccc1P(c2ccccc2)c3ccccc3,603-35-0,11776,Cl[P+](c1ccccc1)(c2ccccc2)c3ccccc3
Tri(o-tolyl)phosphine,Triarylphosphine,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,6163-58-2,287822,Cl[P+](c1ccccc1C)(c2ccccc2C)c3ccccc3C
Tri(2-furyl)phosphine,Triarylphosphine,c1coc(c1)P(c2ccco2)c3ccco3,838-03-3,383767,Cl[P+](c1cocc1)(c2ccco2)c3ccco3
Triisopropylphosphine,Alkylphosphine,CC(C)P(C(C)C)C(C)C,15428-64-5,6309,Cl[P+](C(C)C)(C(C)C)C(C)C
Triethylphosphine,Alkylphosphine,CCP(CC)P(C)C,1493-86-5,6296,Cl[P+](CC)(CC)CC
Trimethylphosphine,Alkylphosphine,P(C)C,124-40-3,6260,Cl[P+](C)(C)C
Tri-n-butylphosphine,Alkylphosphine,CCCCP(CCCC)CCCC,998-40-5,10424,Cl[P+](CCCC)(CCCC)CCCC
Tricyclohexylphosphine,Alkylphosphine,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,1026-26-6,75806,Cl[P+](C1CCCCC1)(C2CCCCC2)C3CCCCC3
Tri(4-methoxyphenyl)phosphine,Triarylphosphine,COc1ccc(cc1)P(c2ccc(OC)cc2)c3ccc(OC)cc3,16616-01-4,108441,Cl[P+](c1ccc(OC)cc1)(c2ccc(OC)cc2)c3ccc(OC)cc3
Tri(4-fluorophenyl)phosphine,Triarylphosphine,Fc1ccc(cc1)P(c2ccc(F)cc2)c3ccc(F)cc3,994-02-7,69159,Cl[P+](c1ccc(F)cc1)(c2ccc(F)cc2)c3ccc(F)cc3
"Tri(3,5-dimethylphenyl)phosphine",Triarylphosphine,Cc1cc(cc(c1)C)P(c2cc(cc(c2)C)c3cc(cc(c3)C)),16616-05-8,108445,Cl[P+](c1cc(C)cc(C)c1)(c1cc(C)cc(C)c1)(c1cc(C)cc(C)c1)
Triphenylphosphine oxide,Phosphine oxide,O=P(c1ccccc1)(c2ccccc2)c3ccccc3,791-28-6,6658,Cl[O+][P+](c1ccccc1)(c2ccccc2)c3ccccc3
